CM1	CM2	CM3	CP1	CP2	CP3	CP4	CP5	KM1	KM2	KM3	KP1	KP2	KP3	KP4	KP5	KP5.1
148413	807	1455	725	1100	1583	1018	1121	1393	1065	1635	1033	1354	2044	1253	1261	1787	2081
55052	3122	3476	6631	3975	4986	8059	6397	5044	3899	3848	6303	3633	5918	7961	6673	4079	3694
441869	2	1697	0	0	97	17	0	8	2	2431	2	2	94	15	0	38	45
643965	2	0	0	6	904	0	0	34	4	2	0	5	1436	0	0	192	85
102724312	36	42	0	4	340	56	4	19	58	42	1	3	321	53	19	42	16
64856	8091	5106	152	36	25164	10886	2361	8	10641	8593	349	53	30653	12052	5073	38	90
219293	438	170	2352	90	139	10	4	20	560	132	2774	118	131	43	8	11	16
83858	1748	1554	3434	2548	3554	6029	3571	4261	1706	1280	3201	1776	5297	6136	3106	3230	3151
55210	4673	4563	7923	3319	3506	6920	4225	8185	4525	3108	5971	2364	3253	5725	3673	5182	5396
339453	42	76	22	22	99	26	22	84	61	77	26	12	104	19	24	59	57
29101	6471	7832	7307	10275	13467	12609	7876	11126	7999	7700	8027	8613	14751	11808	7780	9094	11628
643988	434	588	6	0	1160	507	462	1353	574	730	10	0	1654	552	545	1920	2017
142678	1029	1982	1009	1400	1540	1405	2041	2167	1213	1954	1486	1312	2396	1473	2173	2650	3163
8510	8	24	0	3	9	0	0	10	5	4	0	3	8	3	0	8	8
984	3154	5792	4390	3665	4378	5922	4709	5896	3884	4652	4255	3380	4293	5006	4409	5151	5181
728661	2865	5188	2496	3638	7129	5169	3282	3835	3314	4815	4131	3561	8190	4945	3721	4255	6115
8511	7	0	0	0	11	8	4	32	5	19	5	6	11	0	8	34	13
728642	858	1213	1568	1717	2938	2266	2358	2534	1118	1407	1419	1626	2821	1905	2201	2777	2727
9906	301	882	1774	683	1723	1113	1333	2373	361	808	2631	655	1664	1014	1233	2845	4121
65220	3664	4848	4762	5243	4866	6505	5012	6665	4753	4692	5846	5216	5082	6534	5111	5539	7253
2782	8950	11529	19229	12581	14419	18493	24812	15211	15892	17808	45118	17586	31759	31118	31599	20830	25224
105378949	11	61	59	51	23	95	26	89	16	56	77	78	40	66	32	77	62
163688	0	6	4	0	4	12	1	41	3	0	8	2	12	15	0	39	44
339456	38	34	49	13	41	46	172	130	63	42	41	29	192	175	165	329	403
85452	0	3	0	1	2	3	0	16	2	3	0	0	3	2	0	38	48
2563	22	0	1	0	93	2	8	916	24	0	0	0	556	8	5	4051	4699
5590	2126	1925	603	1054	1186	2830	1940	2943	2812	2373	766	1140	1695	3035	2815	4197	4994
100506504	70	98	27	37	52	64	25	54	103	83	82	38	44	60	32	55	64
199990	1472	2147	2482	2682	4597	4244	1808	3604	1930	2323	3400	2446	4900	4101	2330	4053	2588
105378592	0	10	2	0	17	3	3	15	2	3	0	2	8	1	12	12	20
6497	3503	4429	2405	2560	8897	7051	3419	5435	2969	4479	2384	1971	10087	5046	3297	5077	7040
105378594	0	4	10	0	0	0	8	8	3	0	1	6	2	0	6	4	10
79906	492	468	114	498	798	357	306	623	534	335	128	359	633	311	395	681	710
100129534	130	107	2	138	110	9	39	178	139	64	8	108	100	8	28	330	393
11079	6973	9037	6506	6367	9357	11864	10044	8075	8360	8637	6291	5300	10129	11214	9371	7647	9083
5192	1012	1034	898	1319	1891	1680	1362	1264	1217	899	1064	1073	2222	1615	1351	1697	2470
9651	9	32	19	6	86	3	3	8	11	44	32	15	227	2	2	13	41
55229	61	22	28	23	18	21	14	36	6	36	37	240	10	25	8	161	14
388585	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
115110	2	6	2	2	0	0	0	0	17	10	4	9	0	0	0	0	0
8764	16	14	3	6	2	3	2	5	23	13	20	101	73	5	2	0	0
100996583	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
127281	40	34	15	12	64	10	186	25	91	28	11	0	4	72	126	29	45
79258	0	0	2	0	0	0	0	0	33	3	1	0	0	0	0	0	0
100287898	0	0	0	11	0	3	2	1	2	0	0	8	0	2	2	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
440556	2	1	0	4	156	2	0	64	4	0	0	3	123	1	0	58	66
63976	26	31	13	182	2317	21	1	1023	37	51	24	170	2917	29	12	1208	1644
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27237	1811	3400	2753	3004	421	4483	2731	600	2414	4078	3583	2437	355	4216	2998	410	573
1953	1920	4393	11	1043	475	486	2404	157	2114	4785	41	1455	749	934	3846	460	474
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127262	3435	6366	7125	2883	8732	5519	4971	3270	3604	5898	8105	2661	10615	4924	5367	4705	4812
49856	890	1200	1778	1015	1358	1482	1609	1532	948	1074	2377	865	1227	1485	1410	1337	1639
7161	941	786	275	231	271	300	400	238	1238	1225	684	353	415	625	787	595	623
57212	18	443	376	970	2661	273	47	245	41	432	452	824	3006	277	71	243	333
148870	11	0	11	4	4	5	0	4	14	0	18	4	24	0	2	30	20
388588	17	83	6	100	329	75	64	8	44	130	3	178	578	223	138	39	26
57470	3809	4420	4877	3587	5042	5955	4165	6971	3905	4277	5072	2735	5177	5261	3618	6556	6562
9731	2266	2510	3445	1696	2594	3894	1553	3095	2205	2646	3782	1416	2997	3530	1610	2791	3236
1677	317	394	482	98	273	419	309	399	394	518	758	93	312	440	327	384	507
339448	1840	2761	1549	1341	3036	3281	2957	3461	1765	2217	1491	819	2724	2169	2671	1966	2150
100133612	17	47	103	170	104	13	10	17	21	46	189	175	131	35	25	30	9
728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	0	0	2	0	0	4	0	0	0	0	2	0	0	2	4	0	0
100616489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616421	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
261734	606	604	735	583	1053	840	620	1704	670	506	745	361	793	646	608	1181	1836
8514	1382	346	5794	2557	1276	104	35	805	1614	285	6674	2772	2367	137	54	1275	1273
26038	20	23	93	2	7892	1590	2	5245	12	15	121	6	6236	708	4	3567	3991
6146	23719	41950	44513	29256	37538	57850	71180	57543	27981	37248	46325	25623	37231	51928	58027	52795	41615
102724450	7	5	2	3	2	28	14	27	15	12	15	17	3	14	6	19	15
388591	783	638	61	865	559	766	1077	859	1091	724	107	1110	420	823	1381	1108	1368
23463	5698	8137	3905	4194	5108	6872	9059	5785	10258	11152	8903	7531	12296	12688	13824	8375	11215
148645	82	211	19	31	206	118	54	55	99	142	27	10	136	65	37	46	34
390992	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
387509	332	7450	343	866	314	425	340	526	431	4316	831	493	746	433	316	768	843
11332	3520	4650	1850	2161	6858	3530	1720	10058	3232	3399	2338	2093	5956	2674	1302	6578	7238
54626	8	883	19	18	417	11	0	229	40	1204	27	14	371	11	4	308	419
83715	48	269	5698	219	166	10	5	74	213	272	6506	418	207	25	18	202	119
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	116	349	979	266	28	31	49	190	242	444	1320	247	62	36	50	240	381
57449	430	1523	5567	1429	177	249	373	754	893	2071	8240	1325	385	445	312	1623	1878
79707	1374	2024	1973	2002	3293	3444	2287	3083	1501	1324	1689	1160	3001	2519	1861	2388	2549
80835	2	0	3	0	3	8	0	7	0	7	6	6	0	7	0	6	9
3104	492	680	1064	570	926	1014	910	1331	582	748	1190	563	1048	857	797	1138	1434
9903	1638	1967	2273	1867	2718	3611	1964	2369	1714	2076	2198	2387	3758	3351	1773	2671	3926
148479	2218	2592	1206	2291	4451	2970	2686	4166	2458	2174	1305	1866	4954	2744	3074	3796	4726
90326	363	684	436	558	1476	1010	608	1002	503	632	518	378	1055	1022	499	822	1063
55735	3258	3321	3912	3330	5629	7599	5090	6143	3709	2966	3832	2889	7046	6417	4648	5667	6687
100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23261	1599	2614	1911	2019	2385	3387	2689	6135	1971	2418	2048	1698	2520	3108	3146	5705	3186
9341	6266	9455	5665	5553	10995	11498	10356	11941	6658	7490	5633	4091	9445	9300	8411	8791	11035
8863	2850	955	436	1564	1365	3125	4879	2878	2982	877	830	1563	1798	3419	4561	3399	4333
10911	0	3	0	0	0	1	0	0	0	2	2	0	0	0	2	4	4
3604	2	20	9	83	52	27	49	78	19	40	16	142	46	43	32	67	99
11315	12466	19259	21333	14465	24077	29112	24376	33812	13669	15495	23073	12270	25461	23228	20217	28851	25931
54206	11986	9985	19014	30982	46533	110590	30965	54885	8462	8977	15284	8589	29430	55059	7914	33452	43060
102724539	7	2	0	0	14	43	3	27	3	0	0	0	4	26	0	16	17
50651	29	14	49	1	551	461	4	1238	28	2	100	6	966	616	14	2723	3447
473	3226	6407	8928	3231	26167	6590	12101	8970	3693	5762	12421	2566	19805	5598	12741	6970	8264
102724552	1	6	0	0	3	0	0	2	2	0	1	6	5	0	1	0	0
2023	68247	83625	127418	106872	156765	162393	113891	208715	63163	59474	114893	87536	182540	127930	88128	150830	217658
102465436	0	1	2	0	1	1	0	4	0	0	2	0	0	0	0	0	4
100505975	0	4	24	9	6	11	9	3	2	4	17	4	3	6	3	5	16
765	0	2	72	0	0	2	0	1	0	0	158	0	5	0	0	0	0
155184	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	4	8
6518	2	241	2	0	2	0	1	1	0	436	9	0	2	6	4	0	0
80045	332	295	4310	50	1280	625	185	569	267	335	4595	66	1489	765	160	399	498
407040	2	1	0	0	1	0	1	3	3	1	3	0	9	0	1	0	0
9563	2416	4073	559	1599	6861	1966	1636	8500	3078	3533	985	2061	8530	1915	2000	10315	15463
80176	1637	1853	2073	615	3292	2364	2437	3171	2013	2195	2135	793	7911	2447	3783	6145	6955
100506022	20	8	8	6	53	32	14	102	20	8	22	5	60	15	15	69	91
84275	975	787	2556	1113	3013	2666	1142	3293	901	692	2488	838	2462	2354	937	1571	1721
199953	1353	1266	1159	680	1512	1989	1257	2064	2179	1356	1170	793	2329	2667	1349	2634	3374
5293	127	100	45	51	971	374	110	790	176	94	25	97	1750	452	160	1301	1953
644997	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
101929074	39	16	34	0	438	141	5	0	52	32	67	6	411	107	8	0	0
22883	21024	22706	9916	17604	18708	27338	18992	15833	26018	28705	13610	18523	21726	24648	23201	23284	25663
56998	4113	4147	383	5281	4417	5536	2467	1897	2892	2677	542	3373	3124	3291	2115	1488	1733
84328	1709	2425	2329	2015	4125	4498	2617	2697	1512	1828	2193	1411	3650	2868	2039	1531	1586
64802	505	1063	233	786	1314	1362	706	1635	727	1102	503	737	1361	1511	636	1609	2037
100847055	0	0	0	2	0	2	1	0	0	2	0	0	0	0	0	0	2
105376719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
116362	18	0	0	0	936	16	52	66	16	0	0	1	797	26	32	65	57
10277	4308	7001	6053	4713	10568	11125	7439	10083	4079	4584	6166	3692	11576	7766	7129	7918	10046
23095	4228	4059	7524	8044	9654	14097	4633	12195	4312	3366	9367	7093	11099	9996	3664	9939	14644
100422970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5226	13329	5866	17076	10023	15780	14325	29992	22012	14349	5702	16252	8156	17215	12626	28879	16494	18468
100526739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378708	99	85	161	80	232	237	211	186	97	66	124	83	157	157	118	94	123
1325	10	1	6	1	2	1	0	12	5	4	13	2	2	8	1	17	26
1676	3534	3672	2571	3082	7000	7022	5945	8776	3646	3370	2435	2625	7159	5529	4448	6391	7574
5195	2066	3171	1670	2302	3881	3702	3377	3508	2486	2697	1951	1719	3380	2867	3199	2790	2679
54897	1030	1195	1334	650	3749	862	1699	3321	1258	1637	3037	691	3382	730	2547	3884	4875
148345	0	0	661	2	4	0	0	18	0	0	1827	0	12	0	0	6	2
23435	10187	12762	12992	13767	11683	16607	13844	17022	10785	11847	15037	12381	13012	15332	13473	11953	15386
10747	26	44	49	30	37	31	29	71	29	35	56	31	32	41	24	92	98
6723	4207	3157	14277	5432	9110	12703	5260	9742	4430	2973	12168	4849	11326	11365	3792	5955	7831
5394	3087	5194	5181	3614	5785	6776	6949	7239	3396	4807	5316	3184	6849	6707	7039	6811	8274
2475	5829	6861	7901	7194	13012	14034	9036	17881	5742	5004	8473	5755	15670	11360	7903	13750	19108
100873935	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
10218	0	4	0	0	3	0	0	0	2	0	0	2	19	0	0	8	22
29914	1303	1875	2224	1449	2642	2558	2335	3310	1452	1612	2046	1352	3266	2424	1632	2359	3564
57540	2	45	18	0	63	4	0	128	0	61	55	0	104	11	0	460	576
101929181	2	0	6	0	6	8	0	2	1	0	2	4	0	15	0	0	0
26232	1770	527	159	868	9176	5411	241	2402	3580	1462	543	1222	13913	7751	594	5448	4279
93611	1000	323	328	1008	2176	1754	410	2704	1523	540	535	1713	2836	2499	679	4501	5065
26270	235	160	4	663	2403	1178	228	896	472	586	4	1021	2742	1401	598	998	1372
10459	2185	2318	2030	1638	2969	3660	3547	6162	2287	1894	2015	1503	2776	2968	3312	4766	4817
374946	3	6	2	0	9	0	2	6	0	2	4	0	9	0	2	0	4
57085	1605	1027	1170	1791	2646	2430	2073	4795	2211	1192	1656	1931	3513	2336	2928	5299	6278
284498	2	0	0	2	0	0	2	0	4	0	1	0	1	0	0	0	0
102724659	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
4524	1532	1310	1273	678	2573	1192	1053	1065	3242	2032	2413	1313	3871	1625	1576	1876	2801
1185	775	1146	802	931	1022	779	907	1550	796	1023	1112	978	1097	813	828	1510	2113
100379251	4	13	22	7	14	2	5	3	9	10	31	13	12	4	7	3	6
4878	9	19	119	14	33	10	4	9	9	10	175	8	16	6	12	5	12
4879	0	2	2	0	2	1	2	0	2	10	2	23	0	4	2	4	0
26829	0	6	8	0	5	0	2	5	1	5	1	0	6	7	3	7	5
90231	4543	3685	6577	4625	6794	8644	4807	5190	4359	3656	8495	4319	5372	6648	5166	5348	6607
5351	5092	6111	4503	2500	13335	8119	5386	18360	6513	6634	7705	3106	19394	9246	5937	22262	28957
9927	9605	12038	10851	8583	14824	21207	12401	17254	9369	9760	11451	6241	14553	15123	9929	12229	15603
60672	1202	1274	1000	1231	2953	1756	1076	1723	1285	1030	1290	1032	3000	1520	1178	1213	1622
102466982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
943	6	12	6	14	22	7	4	22	10	4	0	16	12	0	2	10	20
102465836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7133	1079	399	92	10	866	110	1355	5110	820	193	59	10	760	63	1204	2304	3055
100616438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55187	3639	6405	2789	3008	5833	5262	6057	6893	4090	6286	3213	2714	6285	4639	5762	6445	9054
677885	8	5	9	8	8	14	11	24	10	15	3	4	13	15	11	4	6
9249	10842	12772	262	515	7726	182	24675	3370	17157	23526	288	749	14164	312	24461	6906	6905
102466722	6	10	0	0	1	0	4	2	5	10	0	0	10	0	4	0	0
343066	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
126767	0	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
65121	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343069	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	1	2
65122	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440563	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
645354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10630	0	0	2	0	0	4	2	0	0	2	4	0	0	2	2	0	0
7799	1725	3427	3569	7330	3878	4593	2429	2942	1910	3284	4176	6746	4144	4539	2395	2286	2775
23254	1029	222	387	966	195	34	71	800	944	316	359	984	280	46	62	861	1010
200197	96	124	55	98	11	78	55	11	109	100	66	80	6	94	47	2	2
55092	1115	2424	1664	1723	1410	3636	2668	695	1482	2780	2019	1532	1184	2768	2836	578	559
727684	0	1	0	4	0	0	0	1	0	0	0	1	1	0	1	0	0
114827	9	86	49	49	20	4	207	8	43	131	72	34	9	2	485	4	5
101927417	4	0	0	2	0	0	12	0	0	0	2	0	0	0	4	0	2
79180	9414	18430	6750	17823	9932	10292	24382	5504	9037	16507	8032	11462	9282	5711	25065	4645	5680
11330	1	0	4	2	0	1	2	0	3	0	4	0	0	0	5	0	0
63036	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0
51032	7	6	0	2	9	4	3	7	5	6	10	1	7	13	5	3	20
842	606	853	579	469	1203	1294	912	1074	786	907	877	466	1248	1193	1008	1223	1180
23341	1053	1113	1612	1278	3566	2580	2400	3278	1326	1750	2230	1299	4584	2857	2518	3953	5430
79814	467	467	2459	2352	682	1106	1079	10	551	411	2274	1927	879	718	601	14	15
84301	882	934	946	647	1577	2580	1172	1254	709	689	900	509	1437	1646	1157	595	689
6248	418	465	437	380	774	1242	671	628	387	302	398	231	612	803	521	330	439
23207	4275	5708	2724	6115	6271	6975	3815	6714	4140	5531	3426	5293	6557	5603	3459	6408	8460
284723	57	35	20	20	25	24	10	97	39	36	101	22	34	8	14	43	62
388595	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0
54751	4153	4721	6741	1781	125	406	5328	684	3833	6138	8168	1699	23	388	6616	834	786
440567	447	526	632	264	686	624	824	582	478	441	704	250	563	437	676	428	684
729614	303	826	554	155	351	395	265	488	341	589	889	196	256	259	312	449	420
23013	10016	11674	10989	7107	10957	12453	13083	11342	9574	12933	11404	7084	11427	11458	12338	8591	12126
7709	1036	1370	1710	1615	1971	2172	1757	1548	1043	1327	2285	1474	1736	2042	1643	1705	1990
101928566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149563	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
27129	2	0	8	0	4	0	0	7	0	0	35	0	2	1	0	0	0
1187	3	0	16	0	6	0	0	2	1	0	56	0	8	2	0	1	0
1188	2	0	2	0	2	0	1	7	9	4	5	2	13	2	2	0	0
348487	36	1	549	153	46	39	32	193	63	10	1106	210	150	41	60	300	314
1969	29767	32724	10669	32684	24121	57647	35390	17175	28626	28381	5573	26414	10992	42949	25346	7253	7559
128272	395	543	432	1122	697	1080	1129	1741	394	908	505	1101	646	892	1100	2155	2648
101927546	18	1	9	6	11	13	4	17	18	7	9	7	9	5	2	19	25
79363	361	441	340	132	871	733	200	407	421	369	385	103	966	440	238	379	374
54455	1386	2078	1708	1571	2646	2551	2074	3118	1823	2143	2227	1646	3264	2821	2119	2692	4299
26099	14808	22021	13219	19424	23146	27821	18738	23032	12996	15668	13429	13319	19143	18532	18807	15859	15943
374955	0	0	0	0	1	0	3	2	3	4	0	0	2	1	0	2	2
55707	2102	3282	2311	4678	4497	4422	5172	5090	2135	3603	2460	3227	3531	3541	4578	4246	5342
114819	42	86	41	121	137	64	48	159	95	77	51	96	139	88	69	215	238
26871	2	2	1	0	0	0	0	23	2	1	2	1	0	0	0	11	17
100126512	5	0	0	1	4	0	2	0	0	2	0	4	0	0	4	1	0
100126517	2	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0
102724970	0	5	0	0	15	8	0	4	0	2	0	0	5	4	0	0	0
100133301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55672	850	1150	759	553	1871	1033	543	1993	830	980	1074	510	1464	784	527	1745	1813
84809	328	764	405	834	802	314	421	1221	394	737	426	747	584	325	300	923	1222
11209	19	56	29	39	74	24	7	114	39	99	50	34	78	27	17	60	65
26869	0	0	2	0	0	0	0	2	0	2	0	0	0	1	1	4	14
729574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100126533	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284729	0	0	25	0	0	14	0	2	0	2	33	0	0	18	2	1	0
100189045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102723383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6060	4	2	2	0	0	3	3	10	0	2	0	0	2	5	2	6	26
11223	14	8	6	8	11	6	3	45	30	13	24	15	19	8	2	22	47
100500876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7193	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0
