,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000078699.21,CBFA2T2,9139,20,1,33490075,33650036,0.349932236,6.167084943,25.01652632,0.000495219,0.003877646
ENSG00000078747.14,ITCH,83737,20,1,34363241,34540748,-0.232974242,7.507149924,7.810244407,0.01852918,0.055151516
ENSG00000079387.14,SENP1,29843,12,-1,48042897,48106079,-0.575329003,5.093817205,87.80416851,2.37E-06,0.00013872
ENSG00000079785.15,DDX1,1653,2,1,15591178,15634346,0.099404848,7.31789479,2.987976368,0.113794179,0.223081209
ENSG00000080503.24,SMARCA2,6595,9,1,1980290,2193624,-0.366075421,5.19547907,3.095914508,0.108207575,0.214660041
ENSG00000080603.17,SRCAP,10847,16,1,30698209,30741409,0.046040112,6.973599197,0.605714958,0.453972104,0.60963354
ENSG00000080815.19,PSEN1,5663,14,1,73136418,73223691,0.178226025,6.879579534,6.528848394,0.028078108,0.075605516
ENSG00000080839.11,RBL1,5933,20,-1,36996349,37095997,-0.046987528,5.295899613,0.57781471,0.464271837,0.619322058
ENSG00000082014.16,SMARCD3,6604,7,-1,151238764,151277896,0.598455801,2.530511772,3.837989847,0.077812204,0.167424077
ENSG00000082258.13,CCNT2,905,2,1,134918235,134959342,-0.469096174,5.692017163,55.29550516,1.92E-05,0.00044956
ENSG00000082701.15,GSK3B,2932,3,-1,119821321,120094994,0.035920423,6.781052352,0.664640733,0.433435487,0.590917713
ENSG00000083168.11,KAT6A,7994,8,-1,41929479,42051994,-0.340713408,6.101167864,46.50611643,4.07E-05,0.000708946
ENSG00000083544.14,TDRD3,81550,13,1,60396457,60573878,-0.003073306,3.22826573,0.000962213,0.975848826,0.986312442
ENSG00000084072.16,PPIE,10450,1,1,39692182,39763914,-0.244658023,5.335229304,16.40249553,0.002203208,0.011301656
ENSG00000085224.22,ATRX,546,X,-1,77504880,77786233,0.599186025,6.643521327,35.14845165,0.000130869,0.001526265
ENSG00000085721.12,RRN3,54700,16,-1,15060033,15094311,-0.200567107,6.607988229,12.07978046,0.00573927,0.022595226
ENSG00000086712.13,TXLNG,55787,X,1,16786432,16844519,-0.201597459,5.428503387,5.091541575,0.04700649,0.112801857
ENSG00000087077.14,TRIP6,7205,7,1,100867387,100873454,0.144564705,5.77347504,0.834599748,0.381903361,0.540789191
ENSG00000087095.13,NLK,51701,17,1,28041737,28196381,-0.160600738,4.497746092,4.069749525,0.070565042,0.154824618
ENSG00000087152.15,ATXN7L3,56970,17,-1,44191805,44200113,0.061543211,6.425713991,1.390704922,0.2648975,0.414311784
ENSG00000087842.11,PIR,8544,X,-1,15384799,15493564,-0.270071466,5.111480328,16.88375809,0.002001335,0.010467224
ENSG00000088038.19,CNOT3,4849,19,1,54137749,54155681,0.919632417,6.117552223,185.3861741,6.69E-08,2.20E-05
ENSG00000088305.18,DNMT3B,1789,20,1,32762385,32809356,-0.4409225,4.159021452,8.717502001,0.014091574,0.044751332
ENSG00000088930.8,XRN2,22803,20,1,21303331,21389825,0.181488308,7.538530814,6.994647458,0.024037781,0.06700605
ENSG00000088992.18,TESC,54997,12,-1,117038923,117099479,0.3407091,2.687694228,0.394034348,0.824715321,0.896196381
ENSG00000089048.14,ESF1,51575,20,-1,13714322,13784919,-0.036520826,5.877363029,0.187344307,0.674089623,0.793245256
ENSG00000089094.19,KDM2B,84678,12,-1,121429096,121581023,0.059196024,5.301236999,0.66783005,0.432367889,0.589788219
ENSG00000089280.18,FUS,2521,16,1,31180138,31191605,-0.311219757,8.848880891,5.648953032,0.038224383,0.096008596
ENSG00000089685.15,BIRC5,332,17,1,78214186,78225636,-0.488774838,6.93832638,26.87735623,0.000377315,0.003167265
ENSG00000090061.17,CCNK,8812,14,1,99481169,99535044,-0.088435679,6.146908017,1.38006456,0.266622701,0.416086614
ENSG00000092199.17,HNRNPC,3183,14,-1,21209136,21269494,-0.280891155,9.721834812,27.97673021,0.000323437,0.002844053
ENSG00000092201.10,SUPT16H,11198,14,-1,21351476,21384019,0.337955936,8.157276702,37.9874071,9.52E-05,0.001262906
ENSG00000092820.18,EZR,7430,6,-1,158765741,158819368,-0.510002269,10.09546085,91.71536271,1.94E-06,0.000124613
ENSG00000092847.12,AGO1,26523,1,1,35869808,35930532,-0.156153658,6.112736837,4.550457573,0.058013269,0.132797891
ENSG00000094631.19,HDAC6,10013,X,1,48801377,48824982,-0.050169801,5.548481407,0.274476192,0.61146926,0.745398153
ENSG00000094916.16,CBX5,23468,12,-1,54230942,54280133,-0.067610036,7.766055324,0.77427029,0.399031633,0.557626925
ENSG00000095564.14,BTAF1,9044,10,1,91923770,92030325,-0.229165254,6.211123019,24.45159566,0.000539431,0.00410228
ENSG00000095787.22,WAC,51322,10,1,28532493,28623112,0.050426926,7.08697052,1.425708129,0.259329795,0.407541541
ENSG00000096717.12,SIRT1,23411,10,1,67884656,67918390,-0.646531085,5.461560937,178.061481,8.14E-08,2.43E-05
ENSG00000096968.13,JAK2,3717,9,1,4984390,5129948,-0.04868594,3.58369309,0.234403932,0.638441337,0.766538775
ENSG00000097007.18,ABL1,25,9,1,130713016,130887675,-0.610327946,6.266541291,57.42269663,1.63E-05,0.000402344
ENSG00000099284.14,MACROH2A2,55506,10,1,70052544,70112282,-0.244888057,4.562855561,12.99306969,0.004614408,0.019241654
ENSG00000099381.18,SETD1A,9739,16,1,30957754,30984664,0.033609145,5.800724839,0.498465724,0.495886901,0.649091654
ENSG00000099917.17,MED15,51586,22,1,20495913,20587632,1.022442561,6.85146492,159.9400079,1.37E-07,3.03E-05
ENSG00000099954.18,CECR2,27443,22,1,17359949,17558151,-0.22594369,1.21746913,0.140082369,0.715815091,0.824128483
ENSG00000099956.19,SMARCB1,6598,22,1,23786931,23838009,-0.10209074,6.597137444,5.200504541,0.045109919,0.109278391
ENSG00000100084.14,HIRA,7290,22,-1,19330698,19447450,-0.969890614,5.672497057,95.65648142,1.59E-06,0.000109037
ENSG00000100201.21,DDX17,10521,22,-1,38483438,38507660,0.17287326,8.233456848,9.094917871,0.012630543,0.041108292
ENSG00000100207.18,TCF20,6942,22,-1,42160013,42343616,-0.105176807,6.810522415,3.70806713,0.082279809,0.174374751
ENSG00000100292.17,HMOX1,3162,22,1,35380361,35394214,0.808359829,5.518969092,32.07984524,0.000189027,0.001943992
ENSG00000100296.13,THOC5,8563,22,-1,29505879,29555216,-0.100955544,5.375633307,1.148140589,0.308485501,0.462161327
ENSG00000100307.13,CBX7,23492,22,-1,39120167,39152680,0.159153743,4.241147204,6.553573361,0.027843855,0.075179933
ENSG00000100320.23,RBFOX2,23543,22,-1,35738736,36028824,-0.334838857,7.056898783,20.660893,0.000997138,0.006266093
ENSG00000100324.14,TAB1,10454,22,1,39399778,39437060,0.196919303,4.992957877,9.82975522,0.010276184,0.035301369
ENSG00000100325.15,ASCC2,84164,22,-1,29788609,29838304,0.41791633,5.765850088,54.73950102,2.01E-05,0.000459056
ENSG00000100387.8,RBX1,9978,22,1,40951347,40973309,-0.192374999,5.907794714,2.140605791,0.173381468,0.305037876
ENSG00000100393.13,EP300,2033,22,1,41092592,41180077,0.138756213,7.13920121,8.213485051,0.016374667,0.050130057
ENSG00000100395.15,L3MBTL2,83746,22,1,41205282,41231271,-0.090860953,5.388151317,4.549286227,0.058040343,0.132839319
ENSG00000100410.8,PHF5A,84844,22,-1,41459717,41468692,-0.377286273,5.350248096,41.12099334,6.85E-05,0.001020415
ENSG00000100425.18,BRD1,23774,22,-1,49773283,49827512,0.103829265,5.39057552,4.247593875,0.065563776,0.146236371
ENSG00000100429.18,HDAC10,83933,22,-1,50245183,50251405,0.415785592,4.397721503,29.14304871,0.000276023,0.002551445
ENSG00000100462.16,PRMT5,10419,14,-1,22920525,22929408,0.252689736,6.935594866,7.000796541,0.023989347,0.066908848
ENSG00000100603.13,SNW1,22938,14,-1,77717599,77761207,-0.061799927,6.653491126,2.611067487,0.136405817,0.254979118
ENSG00000100815.12,TRIP11,9321,14,-1,91965991,92040896,-0.289852581,6.286426507,54.59228156,2.03E-05,0.000462366
ENSG00000100823.12,APEX1,328,14,1,20455191,20457772,-0.145562802,7.502650034,8.804971768,0.013735551,0.043789837
ENSG00000100852.13,ARHGAP5,394,14,1,32076114,32159728,0.012731344,7.341144075,0.071310133,0.794727207,0.876652351
ENSG00000100888.13,CHD8,57680,14,-1,21385194,21456126,-0.13118732,7.108151768,8.583214345,0.014660096,0.046176626
ENSG00000100906.10,NFKBIA,4792,14,-1,35401513,35404749,0.189853126,6.790647307,3.898765093,0.075825858,0.163936724
ENSG00000100916.14,BRMS1L,84312,14,1,35826338,35932325,0.483992743,3.956559703,29.62605701,0.000258851,0.002430706
ENSG00000101040.19,ZMYND8,23613,20,-1,47209214,47356889,-0.027637176,6.888841105,0.277512326,0.609531407,0.744323401
ENSG00000101104.12,PABPC1L,80336,20,1,44910060,44959035,-0.467596409,4.507536538,12.32994243,0.005401188,0.021562498
ENSG00000101158.14,NELFCD,51497,20,1,58981208,58995133,-0.097677543,6.774605373,5.154294711,0.045902574,0.110745385
ENSG00000101161.8,PRPF6,24148,20,1,63981132,64033100,0.181020499,7.096342895,8.453189776,0.015237165,0.047542652
ENSG00000101189.7,MRGBP,55257,20,1,62796473,62801729,-0.016509725,5.422519782,0.062339481,0.807761541,0.88496173
ENSG00000101255.11,TRIB3,57761,20,1,362835,397559,-0.269501091,6.117137487,1.912456846,0.196032226,0.333144335
ENSG00000101266.19,CSNK2A1,1457,20,-1,472498,543835,-0.107926946,8.083445581,3.992506958,0.072883723,0.158828776
ENSG00000101413.11,RPRD1B,58490,20,1,38033725,38127780,-0.079889396,6.443398112,2.438571266,0.148662124,0.271644743
ENSG00000101442.10,ACTR5,79913,20,1,38748460,38772520,-0.031119872,4.083879167,0.188957093,0.67278272,0.792274328
ENSG00000101577.9,LPIN2,9663,18,-1,2916994,3013144,-0.010659523,5.610659905,0.010253356,0.921295682,0.956320039
ENSG00000101773.19,RBBP8,5932,18,1,22798261,23026488,-0.610234045,6.470718316,36.23380082,0.000115611,0.001406809
ENSG00000101849.16,TBL1X,6907,X,1,9463320,9741037,-0.148590469,5.646034478,4.676662981,0.055184978,0.127746362
ENSG00000101882.10,NKAP,79576,X,-1,119920672,119943751,-0.212543595,4.271647971,8.859368292,0.013519615,0.04319447
ENSG00000101945.16,SUV39H1,6839,X,1,48695554,48709016,-0.226885698,4.871569292,11.59874993,0.006463747,0.024762358
ENSG00000101966.12,XIAP,331,X,1,123859724,123913976,-0.218089593,6.60145553,8.475527376,0.015136101,0.047270774
ENSG00000102054.17,RBBP7,5931,X,-1,16839283,16870362,-0.235721772,7.621014159,10.26821156,0.009122768,0.032223173
ENSG00000102103.16,PQBP1,10084,X,1,48890197,48903143,-0.055941533,6.054477317,0.881797729,0.369280848,0.526948921
ENSG00000102241.12,HTATSF1,27336,X,1,136497079,136512346,-0.123322188,6.861043008,8.75326903,0.013944663,0.044380016
ENSG00000102243.13,VGLL1,51442,X,1,136532215,136556807,0.845740637,5.017796201,4.630840499,0.056191842,0.129691682
ENSG00000102710.20,SUPT20H,55578,13,-1,37009312,37059713,-0.16567629,5.254117396,14.02962102,0.003642431,0.016319529
ENSG00000102760.13,RGCC,28984,13,1,41457550,41470871,-0.708309324,0.795946902,2.605884171,0.136754862,0.255470235
ENSG00000102871.16,TRADD,8717,16,-1,67154185,67159909,0.390633381,4.295172263,14.15596702,0.003541576,0.015994747
ENSG00000102931.8,ARL2BP,23568,16,1,57245259,57253635,-0.042494122,5.698206043,0.440903203,0.521322084,0.672452325
ENSG00000103037.11,SETD6,79918,16,1,58515479,58523842,-0.290767259,4.324004559,14.95236738,0.002977598,0.014025671
ENSG00000103126.15,AXIN1,8312,16,-1,287440,352723,-0.008802884,5.418698295,0.025693062,0.875762836,0.929365353
ENSG00000103168.16,TAF1C,9013,16,-1,84177847,84187070,-0.123384627,5.10245333,2.25740094,0.163101363,0.291713519
ENSG00000103316.11,CRYM,1428,16,-1,21238874,21303083,0.90063623,0.886300936,2.176075087,0.170172708,0.301026285
ENSG00000103363.14,ELOB,6923,16,-1,2771414,2777280,0.222909601,7.501441245,1.351638599,0.271308675,0.421396455
ENSG00000103423.14,DNAJA3,9093,16,1,4425805,4456775,-0.010865462,6.616006748,0.037658895,0.849916472,0.912204489
ENSG00000103479.16,RBL2,5934,16,1,53433977,53491648,-0.083330895,6.338333251,0.814417448,0.387504129,0.54647166
ENSG00000103490.14,PYCARD,29108,16,-1,31201486,31203450,0.360659446,4.070070229,0.658045063,0.439985714,0.596659817
ENSG00000103510.20,KAT8,84148,16,1,31114489,31131393,-0.226257835,4.30420448,6.832148358,0.025361788,0.069802698
ENSG00000103671.9,TRIP4,9325,15,1,64387748,64455303,0.001799824,4.834282696,0.000600656,0.980917103,0.989250797
ENSG00000104221.12,BRF2,55290,8,-1,37843268,37849861,-0.232160388,3.658547286,7.717139954,0.01907441,0.056467733
ENSG00000104313.19,EYA1,2138,8,-1,71197433,71592025,-0.331488108,2.424935774,0.769036328,0.400573926,0.55911604
ENSG00000104365.15,IKBKB,3551,8,1,42271302,42332460,0.11756407,4.684291949,3.180857929,0.104052063,0.208399849
ENSG00000104375.17,STK3,6788,8,-1,98371228,98942827,0.02007429,5.320576931,0.133694547,0.722054537,0.827449674
ENSG00000104472.10,CHRAC1,54108,8,1,140511311,140517154,-0.384953003,5.673703597,26.99157859,0.000371242,0.003139687
ENSG00000104825.17,NFKBIB,4793,19,1,38899700,38908893,-0.218937962,6.113191576,6.236019378,0.031043184,0.081835911
ENSG00000104872.11,PIH1D1,55011,19,-1,49446298,49453497,-0.175631992,5.43443241,5.875869252,0.035230627,0.090172613
ENSG00000104884.15,ERCC2,2068,19,-1,45349837,45370918,0.072873911,5.437138945,1.139451499,0.310230224,0.463887753
ENSG00000104885.18,DOT1L,84444,19,1,2163933,2232578,-0.166343334,6.075236342,13.54263983,0.004064865,0.017646213
ENSG00000104964.14,TLE5,166,19,-1,3052910,3063107,-0.118929494,8.412319302,1.828069521,0.205393595,0.344745357
ENSG00000104973.18,MED25,81857,19,1,49818282,49840383,0.264337079,6.316229384,6.538484618,0.027986527,0.075413805
ENSG00000104976.12,SNAPC2,6618,19,1,7920338,7923250,0.077090175,4.088224206,1.428699812,0.25886144,0.407194989
ENSG00000105011.9,ASF1B,55723,19,-1,14119512,14136613,-0.286140354,5.956696747,8.130318438,0.016793129,0.051107693
ENSG00000105085.10,MED26,9441,19,-1,16574907,16629062,0.365136032,3.640641017,22.38410331,0.000747213,0.005114713
ENSG00000105173.14,CCNE1,898,19,1,29811991,29824312,-0.050475573,4.750240324,0.231426276,0.640558448,0.768140708
ENSG00000105176.18,URI1,8725,19,1,29923644,30016612,-0.150262964,6.271097,9.321836486,0.011839922,0.039198882
ENSG00000105204.14,DYRK1B,9149,19,-1,39825350,39834201,0.214880053,5.274794484,2.746990173,0.127644596,0.242959792
ENSG00000105329.9,TGFB1,7040,19,-1,41301587,41353922,0.68851894,5.919612549,42.15167906,6.17E-05,0.000959465
ENSG00000105556.11,MIER2,54531,19,-1,305573,344815,-0.005379684,4.63294189,0.004483364,0.947901505,0.970661111
ENSG00000105647.17,PIK3R2,5296,19,1,18153163,18170532,0.53847509,6.01514,50.30276108,2.90E-05,0.000582458
ENSG00000105656.13,ELL,8178,19,-1,18442663,18522116,0.117718908,4.55510088,2.354155396,0.155175797,0.28091231
ENSG00000105662.16,CRTC1,23373,19,1,18683678,18782333,0.515083341,3.855652722,28.09692727,0.000318123,0.002807333
ENSG00000105887.11,MTPN,136319,7,-1,135926760,135977359,0.189420207,7.83405509,20.90010284,0.000957035,0.006102181
ENSG00000106153.13,CHCHD2,51142,7,-1,56101573,56106476,-0.265234856,8.432169639,26.3596981,0.000406376,0.003333677
ENSG00000106245.11,BUD31,8896,7,1,99408641,99419616,-0.360587157,6.391359845,25.87326173,0.000436156,0.003511791
ENSG00000106290.15,TAF6,6878,7,-1,100107070,100119841,-0.165074604,5.999513542,8.882815122,0.013427804,0.042994552
ENSG00000106462.10,EZH2,2146,7,-1,148807257,148884321,-0.730941444,5.704651209,64.03516476,1.00E-05,0.000301753
ENSG00000106554.13,CHCHD3,54927,7,-1,132784870,133082090,-0.281166219,6.415897846,28.84387712,0.000287343,0.002622937
ENSG00000106624.11,AEBP1,165,7,1,44104345,44114562,0.338499717,-0.785940685,0.246627356,0.629922935,0.759878713
ENSG00000106829.18,TLE4,7091,9,1,79571773,79726882,0.249648627,3.897158866,0.20668961,0.658837862,0.781527403
ENSG00000106991.13,ENG,2022,9,-1,127815013,127854658,0.434126228,4.808612025,3.891782449,0.076050852,0.164303147
ENSG00000107077.18,KDM4C,23081,9,1,6720863,7175648,-0.004653847,4.141621736,0.004260095,0.949213238,0.971466578
ENSG00000107104.18,KANK1,23189,9,1,470291,746106,-0.109610843,3.501458155,0.424403056,0.529063242,0.678064165
