Geneid	HISAT2 on dataset 210 and 211: aligned reads (BAM)	Length
391004	0	1578
645425	0	1634
126755	0	2540
10630	0	3055
7799	2775	9940
23254	1010	13941
200197	2	6979
55092	559	2680
727684	0	719
114827	5	7297
101927417	2	1046
79180	5680	2754
11330	0	3488
63036	0	920
51032	20	923
842	1180	5239
23341	5430	6299
79814	15	3154
84301	689	2680
6248	439	1854
23207	8460	4339
284723	62	4420
388595	0	1265
54751	786	4618
440567	684	538
729614	420	2732
23013	12126	12227
7709	1990	2794
101928566	0	915
149563	0	927
27129	0	2913
1187	0	2536
1188	0	3445
348487	314	2612
1969	7559	3964
128272	2648	3351
101927546	25	1616
79363	374	1859
54455	4299	6373
26099	15943	3766
374955	2	4305
55707	5342	2215
114819	238	5368
26871	17	164
100126512	0	445
100126517	0	72
102724970	0	536
100133301	0	1312
7195	0	71
55672	1813	5891
84809	1222	1765
11209	65	2636
26869	14	164
729574	0	510
100126533	0	142
284729	0	2015
100189045	0	71
102723383	0	733
6060	26	164
11223	47	4668
100500876	0	73
100189298	0	71
7193	0	72
791226	1	74
9696	3590	7210
26870	12	164
4237	2	1798
23400	5473	4040
6390	7577	1153
11240	65	4363
29943	0	4745
51702	123	4816
100616188	0	87
23569	8	3014
353238	0	2396
55920	21882	4163
55160	1147	5073
81569	12	3318
101927876	0	2471
84966	0	2230
127707	0	5070
5081	0	6313
80834	0	2521
8659	7333	3581
100616120	0	74
100302276	0	78
126917	2915	6170
23352	28594	16102
23065	15925	6680
51154	4737	2658
246181	15	2314
22977	46	2116
100506730	255	2490
8574	6172	2619
54896	1860	4462
832	21179	3819
100532736	0	2210
440574	3379	4231
644068	42	838
4681	15	3281
3362	857	3388
255104	1587	4027
54546	0	1250
23252	2529	7665
30814	0	487
5320	0	1032
5322	0	2958
26279	0	1970
64600	0	3448
391013	0	453
127733	0	5750
101928017	0	510
127731	0	12066
339505	0	3783
55450	340	2351
79594	3086	2726
163933	0	2582
978	1391	960
65018	4194	2660
102464833	0	110
100861548	497	4443
1650	34588	2126
57576	110	5049
400745	616	4806
50809	20648	4888
8672	13297	7638
100302155	0	119
1889	23841	6294
100506801	7	2574
84224	854	4976
249	0	3528
5909	671	3785
84196	5305	6371
401944	1	4602
3339	13614	14997
23436	0	1613
10136	0	907
101928043	11	698
29092	497	1388
998	19861	3155
54361	62	6094
100616433	0	62
9923	3594	9286
2046	182	6663
102466615	0	109
712	8	1098
714	26	1191
713	8	1223
2048	1954	5050
100616391	0	82
100422914	0	68
646262	0	1740
729059	5	510
23028	14060	3853
100422866	0	68
100616177	0	77
7798	3382	8971
3352	12	2835
100996511	14	3511
10236	14509	8129
80818	1252	4814
148898	87	2869
6920	23	2920
55616	1651	4383
1870	1199	5694
101928163	0	1212
3399	14727	1239
259283	20	1027
6135	42256	634
6924	6349	4943
100506963	12	1084
57095	1995	1622
11313	4902	2100
2582	2186	1858
3155	2678	1608
2517	1542	2353
1269	0	3149
100616492	0	78
55629	9441	2417
10772	8168	8215
127294	16	5800
58985	0	3017
163702	282	5057
284632	0	1846
57822	0	3552
90529	443	3593
57185	2389	5943
100750325	0	429
11123	958	3030
100506985	139	973
400746	0	4420
10250	9631	6059
25932	10382	4471
864	12	4905
102465437	0	72
100616365	0	84
25949	2897	1777
57035	1049	2302
6007	16	3261
23585	2914	2655
6006	16	3862
55219	1621	4123
26119	1473	5596
57134	193	4641
57190	18597	4332
56181	1819	2403
646471	212	3653
79000	451	2408
164091	2793	3712
3925	21814	3602
100500808	0	93
5051	826	5025
2134	123	4202
7780	2	2499
105376910	0	1106
84676	0	1771
149420	636	4600
79927	50	2090
105376887	0	2082
51042	1806	649
10256	12	2635
378807	0	1868
101928303	2	1078
64793	1943	4296
83442	5166	1115
91544	559	2072
1043	3	505
55057	4	5624
257101	4	2222
79727	12	4014
79947	2095	3495
101928324	2	784
3151	26887	1969
6195	3026	3863
100302190	0	52
101928728	125	3948
8289	5810	8585
55650	1381	2955
84243	3315	3139
2810	850	1315
54707	1210	1582
63906	772	2755
10726	8987	2267
8431	2	1579
126695	0	1979
388610	93	2004
115572	262	2374
6548	4150	4905
23038	4080	5470
84065	1920	1855
644961	18	2652
100887744	0	107
84958	1412	2183
9064	2139	4547
8547	19	1144
388611	0	1563
2827	146	2115
10163	18297	5705
27245	2799	6771
2268	12	3255
2537	2892	860
199870	527	3462
23673	2005	3079
5511	3253	2852
677774	2	166
9473	479	2724
6118	3157	1957
27293	23	2843
55113	0	2963
2140	1944	6730
5724	18	4533
22826	10684	1765
93974	5908	1925
83667	4648	3528
54797	792	1965
65979	4719	7306
1104	10162	3027
8420	3235	2346
6080	152	207
26768	154	158
54952	1091	2015
85028	566	739
692212	17	80
677838	118	130
677825	25	132
692073	69	134
115273	12	1343
6883	2757	1553
26824	19	135
10691	680	2906
105376911	0	390
51441	10142	3063
4985	0	1774
2035	8964	8303
399474	56	3712
6429	9970	2530
51102	1494	3617
10076	1366	5861
101928460	0	2148
101929406	0	1519
4146	6	3830
100129196	81	2050
7805	120	2240
100616164	0	77
400748	0	1747
9672	10996	5607
9698	12418	5385
692234	4	88
692235	20	88
692200	2	75
79570	500	2922
9410	5321	1624
51538	2882	2690
2170	61	1717
347735	498	3549
149086	0	2113
284551	0	2741
64129	8	2382
3061	12	2763
553115	3028	2664
1307	7	6042
576	1178	5446
100423028	0	76
90853	191	4110
8073	16904	4263
10657	28381	3732
55116	1969	3730
100847018	0	59
23633	13092	7592
200081	13026	5171
79140	707	2423
56063	306	4065
55721	478	2293
149069	10	1349
8668	28931	1636
339483	29	2324
84734	16	956
3932	4	2412
3065	26547	2138
65108	10110	1562
100128071	64	699
81629	144	1317
55108	2726	5558
728116	0	4019
653121	916	7368
339487	1697	2922
5928	11074	8018
81493	81	3493
57648	4136	5769
8565	11852	3164
64766	2974	7135
252995	705	3195
3208	37	1439
113452	3135	1130
127544	1509	4970
204	17421	5771
113451	694	4659
55223	632	4472
149076	1618	5707
127550	0	1023
1912	4018	9381
100500853	0	100
101929464	14	490
7579	1055	9885
114784	1	14933
127540	0	2343
402779	0	1364
84970	0	3294
693137	0	96
2709	822	1356
127534	21	3174
2707	46	2352
2701	0	1760
113444	2386	6972
58512	1288	7912
653160	105	1887
100506144	1622	925
9204	1665	5145
79830	2895	6947
6421	27138	5832
9202	11608	7451
79932	12102	5332
23154	4254	3705
339488	28	2189
5690	11001	4846
127703	3651	3346
63967	4210	8821
192670	1906	7234
26523	5032	7682
192669	2105	11645
27285	6	1891
54936	1785	1691
1296	22	4825
27095	4165	1753
55700	19469	3646
9967	25233	4827
79729	456	2923
55194	1070	1245
83931	6115	3909
84967	1521	927
127700	647	1845
64960	6388	965
1441	7	3584
2899	0	11434
100422898	0	72
728431	44	1427
80149	437	5973
102465438	0	60
64769	2905	4965
100847010	8	60
79753	2302	4754
7802	0	2649
29889	5516	2606
284654	42	3089
54955	2160	4044
55143	5976	2486
284656	951	6726
149175	8533	3389
79693	1880	1836
127687	2167	1318
4520	3389	9433
3633	2091	5067
10946	13097	3242
2275	932	1657
51118	2413	2050
5453	0	2928
100500801	0	99
339442	0	2283
64121	3237	2733
100527950	0	5271
26292	2	2565
81025	0	2322
54933	358	2003
79647	11921	3327
4725	11694	571
23499	13779	26663
643314	1799	6979
105378950	0	2271
353500	77	6681
728448	4	2637
8761	23095	3204
101929516	12	641
677834	15	137
26508	170	4299
84618	66	1107
51440	97	4983
10450	3118	4874
656	986	6201
64064	44	1824
105378951	3	1800
101929536	0	1190
54802	1095	2349
4610	284	4951
84879	134	2213
10487	21801	3184
5538	16013	2504
6018	3418	6339
127391	0	741
10269	12333	3523
1298	24	4512
64744	2151	3524
65243	369	2133
339559	328	2889
64789	1242	3634
127396	310	2871
9783	1628	7751
100130557	118	3182
4802	1850	3577
407034	0	92
407031	0	89
9132	502	12494
163732	553	1291
1503	4157	4781
100507178	15	4800
200172	35	4491
22955	1744	4291
100132074	391	2390
1907	16	1253
59269	4509	20751
2981	0	597
2980	0	575
22887	6415	5982
284716	831	10569
84217	350	1775
79717	4392	3115
728621	45	4714
10465	1989	1837
4904	203130	1566
149461	0	3602
64175	10443	3163
79078	780	1015
100129924	46	983
374969	382	798
114625	868	3782
51058	623	1999
339539	3	2365
6513	5268	3670
440584	21	1124
105378684	0	1828
440585	62	3701
10969	9665	1642
102465439	2	61
149465	59	5897
128218	0	2427
149466	0	1729
7075	16	4462
4352	3	4031
991	13581	1675
64834	9186	1786
102466723	0	68
112950	1424	2050
23334	3515	14883
102465440	0	73
81888	29	3801
5792	80416	8201
9682	9101	4874
100132774	148	1574
6487	752	4593
101929592	6	469
102464830	0	62
9048	122	5049
9670	3631	4293
1802	3014	2557
533	6544	2068
8704	4034	2425
149473	316	1463
6536	1950	3885
128209	0	4025
105378952	0	3184
55929	2034	2071
79033	4848	2243
100874278	6	1120
55182	3758	5437
100847089	0	60
79639	432	2711
339541	66	3762
26828	3	116
26830	10	100
11004	4348	3518
6202	100158	705
26811	70	74
94161	18	98
94162	19	71
94163	30	69
266675	15	3289
1263	332	2358
343521	34	1535
149478	26	2986
8643	366	4634
8891	2891	2178
79654	3219	3630
7389	7142	1477
57643	504	5923
400752	79	1710
84842	906	1803
4595	1280	2940
114034	1105	2630
10420	20	3343
126661	137	2169
25974	1466	2901
5052	62136	1348
10327	1909	1580
4678	12219	3364
149483	48	3485
60313	6439	3866
728963	8	914
51249	2441	1471
3652	2814	3908
23139	6511	6647
8503	14710	6271
101929626	5	359
10103	1403	2164
55624	4275	3627
541468	13	1849
8438	1775	3146
10489	9933	3210
7388	14314	771
387338	2458	5799
2166	45	2095
729041	62	1267
101929651	2	1129
127343	185	3277
100507423	9	2445
148930	0	2909
8569	1540	4158
148932	539	2985
64756	7943	2152
374973	30	994
100130197	3	584
9813	11300	5767
1580	0	2162
163720	0	1474
1579	0	2826
260293	7	2880
199974	5	2007
284541	0	3855
100874253	54	661
10158	167	894
6886	4	6897
6491	3254	5963
51727	13353	3508
102724077	17	861
2301	0	1981
84793	818	2509
2306	401	4675
388630	20	11371
391037	0	1511
200010	2	4282
54558	528	6500
84871	0	7474
79656	0	2104
101929721	0	575
100874313	0	514
1996	0	5354
63950	0	4166
11124	5059	2583
1031	1391	2478
100616189	0	69
102466656	0	86
284546	0	1029
26994	3231	3074
22996	1573	5269
102724097	1	650
2060	5873	5684
114883	16025	4472
4898	19129	4522
100313892	0	59
5865	529	14228
51060	9154	4351
112970	0	1696
104355143	0	391
91408	3439	4643
9372	2230	5292
200014	4354	5764
4998	1735	3226
84950	4163	2793
23318	6987	7156
105378722	10	711
2882	0	1229
348378	0	2476
65260	2098	2114
79699	4523	8178
440590	0	4677
55268	1131	7578
6342	7092	3834
100616156	0	99
100616458	0	88
100616145	0	100
127435	0	3581
6512	0	4093
1376	6247	3094
54987	1969	1567
4116	2820	756
100507564	35	1181
7804	1149	8014
163742	0	925
63948	0	1910
148979	10	3754
105369175	0	596
55706	11678	4959
54432	786	2017
1733	2	1860
51668	1151	668
115353	3192	1924
388633	4	2376
9528	11924	1726
127428	2007	7499
100616315	0	76
200008	0	1959
606495	474	3551
51253	18325	3041
23648	4223	3457
619518	29	2621
26027	199	3391
338094	6	2057
374977	0	4406
100527960	0	6549
7268	36	2395
25973	1725	4086
55001	2	4889
163747	0	2880
1718	34648	4286
100126514	0	73
199964	4	2157
7809	0	1450
255738	0	4423
23358	13864	11248
100507634	156	2048
100616272	0	83
8613	515	3308
5563	206	9352
199920	4	3970
731	0	3525
732	0	2513
1600	0	2580
101926890	0	1150
115209	2761	1934
4070	4	2072
114803	3414	8086
3725	7834	3323
100131060	14	1123
101926925	2	471
729467	0	1043
55277	937	3811
100616409	0	70
101926944	8	531
51361	2	6051
1573	0	1857
127795	0	2028
101926964	0	2344
100996570	0	1989
4774	293	10149
645030	0	392
414927	0	1887
83941	1724	1250
10207	2765	9882
100422902	0	74
100422946	0	68
54596	6	3989
163782	2255	5709
7398	7215	4198
85440	8362	8168
27329	0	2951
84938	1513	3449
199899	8	1793
100996301	32	1235
27022	0	2068
102464823	0	60
29929	1912	3371
23421	511	3195
84455	715	4457
79469	10	1657
5236	10970	3353
4919	1288	6675
101927034	160	3455
148581	58	5728
57685	4401	5848
100616338	0	77
55225	3575	4532
3716	8293	5177
101927084	0	1079
105378775	0	2551
100500854	0	88
406893	0	75
205	4239	7226
9829	164	7406
54741	2960	5121
3953	418	6901
5142	2	6194
101927139	0	456
84251	0	9477
100422871	0	78
200132	0	2341
10022	0	718
79819	282	4167
57708	3339	8259
23169	7019	6541
400757	0	2728
149233	0	3452
3595	3	4395
26135	47331	6764
1647	1090	1380
55970	2988	4847
100289178	15	2247
9077	0	2502
79971	922	3432
100302279	0	93
6121	2	2608
55635	4859	5438
101927220	15	1247
57554	36	7614
5301	0	996
55631	3562	3131
9295	12857	6779
81573	2935	5721
11147	266	1145
1491	1124	2534
101927244	0	2086
5733	0	10329
100132618	22	1678
9406	6020	3145
406962	1	86
100852410	13	783
257194	0	6041
100852409	0	534
101927295	0	4080
127255	123	5648
100526835	0	3619
8790	1355	4722
51086	0	3023
105378804	0	3824
105378803	0	1772
127254	0	9420
101927320	0	5047
1429	4960	2381
127253	3343	3559
431707	0	2598
204962	359	6334
34	3650	2734
1744	29	3012
5876	4918	1709
692085	17	78
26805	15	84
26804	26	71
4438	8	3277
127247	0	1109
101927342	0	369
256435	0	7347
81849	0	7207
102466995	0	60
10026	5378	4626
26289	717	4335
26009	5423	7487
23032	5713	4900
374986	4201	6896
374987	16	2292
91624	434	8139
8880	5845	6061
11080	1319	4050
54810	3	4721
149047	0	1193
5737	0	5454
10964	0	5923
10561	78	2679
64123	16	3619
101927412	0	706
23266	0	8120
101927434	0	643
101927498	0	1586
101927587	0	3166
101927560	0	1991
79739	14	3884
5567	1036	6629
148418	8	2604
391051	0	1551
58511	0	2368
80135	2072	1975
2787	2491	806
100505741	21	5513
1486	2239	3101
103695366	0	560
439927	0	2884
117178	4590	6198
23566	1356	3621
255231	719	7003
55283	254	4069
126820	35	3019
100616481	0	80
84144	356	6234
148423	1263	3391
8915	1692	4215
646626	4	888
23576	2965	5081
3491	4084	2295
54680	2679	6852
255631	0	6853
57489	1233	6813
102465842	2	56
9635	5	4248
1179	0	3123
22802	0	3240
9629	0	3412
105378828	14	1257
51100	4436	6488
9403	11090	1840
9653	11004	7265
339524	14	4643
101927844	0	1152
105378832	0	1029
8543	429	5498
100505768	0	889
101927891	22	3542
5586	14736	6363
2959	1012	1971
56267	2354	2152
494115	1352	5087
2635	141	3379
2633	54	3180
2634	329	4133
388646	4	2454
115361	99	6145
115362	0	4052
729930	0	1105
163351	14	4867
400759	0	1234
23507	2045	8631
84230	547	7681
400761	7	789
55144	3904	4267
105378846	1	1708
492303	274	1702
284695	3255	3976
343472	0	1496
84146	6027	7250
164045	8	5277
8317	2206	4370
7049	3102	6921
676	4	4051
253152	1037	1443
646817	22	1037
284697	181	1443
23285	612	4556
388649	8	1075
11146	2074	3397
79871	2198	4619
2672	35	6070
7813	2041	9178
6125	82249	1031
388650	1304	3099
6083	9	95
26782	15	133
22823	5433	5135
50999	10868	6185
343099	1291	8794
100131564	384	4033
1810	5082	3209
54874	4131	7486
100126520	0	73
8412	7327	4347
100129046	8	1562
100126348	5	80
100189133	53	73
30836	17657	2722
2730	7690	5303
24	43	7326
9411	885	9293
5825	5443	4339
2152	53	2393
101928079	3	1331
100616321	0	41
126969	16	4434
1266	89	2288
105378862	8	1294
729970	0	952
199857	487	1236
101928098	0	1142
148534	67	7187
100527978	29	1491
101928118	10	2473
25950	266	1385
440594	0	2755
100996635	0	1664
102723661	0	813
101928241	0	1994
58155	848	3858
1806	19098	5843
100873932	1	533
100873933	4	817
400765	166	2469
100616452	112	110
406928	0	102
729987	492	2265
51375	4112	2022
163404	4	4782
100129620	0	2544
9890	2	5355
101928270	0	414
54873	2	2578
391059	341	3283
178	4614	8224
23443	2504	7231
64645	6375	2953
163786	1260	4039
54482	1107	3146
127495	32	2077
1629	7204	11012
100506007	92	780
8634	3323	2701
693138	0	68
8556	417	6031
54112	2	3465
100128787	0	824
7412	0	3203
2135	2060	3599
148867	2395	8336
51611	3174	1833
102606465	373	1326
101928334	0	1784
101928370	0	1213
1901	0	3050
104355286	0	474
118427	0	4611
94236	0	1781
1301	0	7723
101928436	0	527
55599	839	1887
280	49	2242
648740	1	1988
279	0	1679
276	0	2023
277	0	2011
278	0	2027
100129138	0	1224
101928476	0	1918
55170	2560	2650
22854	0	7542
10451	22	13988
102465839	0	82
100873946	0	619
29957	2273	3899
148545	0	3463
653149	0	6087
284611	214	5340
113802	2333	2493
55119	6395	4271
163479	0	3895
6814	4606	2503
254268	98	3248
642864	0	608
29899	4988	4289
23155	4778	4845
22911	2192	4415
6884	1396	577
56900	2203	2832
677766	125	420
127003	0	1351
57535	2	8411
6301	14836	4950
1952	6528	10844
84722	2810	1827
343263	0	1372
6272	5289	7876
5686	9763	3864
284612	572	3845
127002	595	4735
284613	1565	5157
57463	707	5120
83873	32	4364
2773	13187	4743
406974	12	75
2780	102	1906
271	8242	4926
2948	1507	3286
2946	28	2018
2944	2183	1238
2949	5	1643
2947	4102	4213
79574	0	2760
1435	21314	4915
10768	32073	4992
85369	4371	3970
257	389	1478
104355139	0	579
164153	0	1508
388662	0	6485
100873974	34	1132
3749	2793	4557
440600	65	2611
64783	2099	7525
9122	177	3106
10542	3947	850
101410535	66	533
84432	3	1372
643160	0	1241
440602	0	2351
3744	0	1959
3737	0	12783
3738	0	9031
963	16	1628
55791	3860	3588
128338	3657	2125
10390	3910	2513
79961	7	4415
1117	85	1611
149620	0	2803
27159	0	1892
128344	42	2597
441897	1	608
5016	23	2242
79084	4402	2408
515	12336	2116
128346	41	2008
57413	4	2308
140	8	2309
100129269	3	1542
5906	4945	5323
55924	453	7307
100506343	4	2131
101928718	3	2767
11218	2298	3510
3752	74	10509
100874295	0	376
100873995	0	448
643355	3	3415
55917	1606	6066
100422976	0	64
7482	251	3592
54879	1582	6851
829	12752	2787
4343	6536	4675
389	15801	1621
333926	42	1714
284467	2	1440
100996702	103	1824
6566	21972	4783
246182	4	1324
100506392	115	1508
100996251	3	2456
9860	1995	4617
643441	0	2172
260425	1034	7683
10745	1603	4197
54665	1900	6739
100287722	23	2148
26191	14	5501
440603	0	4973
10717	575	3351
64858	1158	3788
101928846	30	2281
204851	6636	9926
56944	24	2113
148281	0	4898
51592	7046	8411
10286	4606	1304
163259	610	4514
270	2	2407
4893	6152	4454
7812	70222	4313
80143	3487	5558
6847	0	4283
7252	0	624
10100	0	3213
4803	0	1317
81839	3221	8769
845	0	2702
4808	0	3415
101928995	0	1396
101928977	0	578
55356	12	10206
126868	0	4619
476	33743	4807
84852	310	2635
101929023	0	863
965	500	1719
100616384	0	88
3321	1076	8787
100302117	0	79
388667	0	386
914	0	1560
5738	1343	6312
9398	2	3563
101929099	5	1814
8458	3615	4952
100126331	0	86
80263	456	3581
79679	0	3484
104355292	0	565
10905	6951	12314
100996263	0	436
54855	119	5720
54834	1167	10374
10885	5969	3877
200162	1	7866
6913	4	4334
10352	1001	3520
104472716	0	562
101929147	712	5118
51179	0	2590
100874270	0	311
3284	0	1870
3283	0	1761
128102	1	8697
644242	4	1590
90874	328	8292
26227	7023	2853
3158	0	2659
83998	0	2262
343505	2	1611
11085	0	2992
4853	20107	12402
9554	5487	1884
105378954	0	835
728841	1340	6546
767846	64	1906
100996724	15	7639
101929796	140	3544
101060684	767	5698
100189005	0	148
101954277	20	167
653505	0	785
728855	8	3694
101954264	3	164
100189257	1	148
105369199	0	1939
100996721	0	1708
100126488	0	288
101929798	0	2265
2210	1	2871
100996318	0	927
337875	0	515
653820	596	4476
653464	819	10540
100873165	0	2504
647121	58	4231
101929815	0	1981
100189261	0	72
101954269	0	164
26863	0	164
791227	0	74
105369140	0	5421
388692	0	2307
100189142	0	71
100189326	0	73
199882	0	4363
100189356	0	74
100132417	0	1335
100996713	0	1511
554282	166	4324
100996712	371	3046
101060524	0	2229
730262	0	785
101954267	23	165
100189323	0	74
284565	1282	5295
100189127	0	74
728945	0	785
105371215	0	1718
1818	0	2229
645166	5	1528
647135	859	10466
728833	244	4379
101929805	0	1532
102724235	0	1488
103091866	2	1503
645142	0	785
101954266	11	164
7214	0	74
100288142	471	18450
100126510	0	72
101060254	0	2111
101929780	236	3827
653519	1754	2734
5174	25	2940
11126	19	2507
27246	1102	2001
10623	1929	4095
200035	284	2000
10401	3456	2902
102466191	0	59
148741	0	3363
8515	54	5487
8799	3207	2404
114814	116	1961
9939	7944	4961
128077	5386	3992
84265	2558	1283
284615	273	4674
10628	15869	2957
148738	0	2233
100189384	0	72
100189064	0	72
100188991	0	72
100189198	0	73
101954276	8	164
101928979	73	1039
100132406	200	11423
388677	187	5324
170688	8	3838
105371242	0	1752
102724558	2	1409
100288805	0	8867
105373468	12	2039
149013	548	7109
728989	0	1076
100189334	0	72
101447996	1	141
644861	0	1149
5565	3854	5638
171423	2317	2099
2330	155	6254
9557	4751	3014
100289211	6	3372
607	5341	6491
51205	1664	3588
2702	6	5809
2703	0	6407
51463	369	5042
100034743	21	2129
100189140	0	72
26864	8	164
100189193	0	74
200030	840	5691
101927468	0	1409
100189056	1	72
100189307	0	72
100189174	3	72
100188998	0	72
100847044	1	76
101954273	0	164
102466225	0	82
26860	0	162
100132057	38	1485
101954272	6	161
388685	0	2052
644591	0	738
25832	980	10208
100996763	165	12620
440672	20	3802
9659	1808	14097
400818	901	5262
653513	2	870
100996761	0	1555
101060226	650	3690
653598	0	785
57234	21	6670
644634	0	1986
100189228	0	73
102723955	0	4253
100189059	0	74
440689	96	4556
2209	5	3598
101927767	11	1325
653604	86	457
8370	2	396
105371405	9	2270
126961	0	507
8337	4	534
337873	110	582
723790	0	534
333932	2	507
554313	0	396
8349	750	2223
8338	405	437
317772	18	448
51027	0	915
9900	8	4551
10262	5466	1993
10903	1548	3851
56957	4401	7040
105373477	2	2149
11311	4197	3154
51177	478	2807
81611	13099	3605
23632	102	2941
51107	17499	2266
79630	6	931
148523	12	2032
54460	3808	1540
9129	3790	2786
23248	9028	8222
80222	6937	2789
102465529	0	66
1893	171	2231
100874054	38	566
54507	4340	5779
105371437	29	1068
100422997	0	86
574406	22	1036
4170	27810	4085
2029	11940	4145
55204	3285	4830
84072	0	2291
1520	14	4107
1513	213	1810
405	3545	5034
9869	2842	4818
29956	22783	2756
8416	1005	2435
55793	2221	3102
58497	2700	3083
149428	33	2412
54964	1461	2053
56882	4462	3183
10962	765	2158
126626	327	2371
10500	1677	4125
100534012	0	1948
79626	6	1178
388695	576	2508
79005	9	2085
29765	36	1556
6944	2411	1564
8394	11248	4651
5710	12922	1362
57592	4649	5808
5298	8093	4417
5993	4960	3883
8991	399	2054
5692	18312	925
23126	6268	9558
57530	1347	5226
7286	1095	3255
693139	0	96
81609	4411	7506
11189	10	6168
284485	0	455
65005	4304	1688
51686	111	1171
11022	1699	3563
339398	0	2667
6097	651	3651
100191040	29	3324
100132111	49	761
284486	51	1146
117145	1811	5258
6281	18595	1055
441908	0	1004
6282	9183	594
100131107	0	1512
126637	0	3603
7062	102	6995
126638	5	3569
388697	8	9632
2312	14	12813
339400	0	4139
388698	2	9128
49860	6	1913
254910	2	819
54544	0	804
